time,state,accel_z,accel_mag,heading,altitude,latitude,longitude,heading_desired,error,servo_command
121.68,4,9.86,10.26,115.62,127.17,35.7870941,-115.2605743,119,3.38,84.36
122.08,4,9.72,10.04,113.94,125.66,35.7870826,-115.2605667,119,5.06,84.51
122.47,4,9.51,9.87,112.12,124.16,35.7870674,-115.2605514,118,5.88,84.57
122.87,4,9.5,9.56,110.37,122.68,35.7870559,-115.2605209,118,7.63,84.72
123.27,4,9.51,9.72,108.62,121.2,35.7870445,-115.2605056,118,9.38,84.9
123.67,4,8.98,9.3,106.87,119.73,35.7870292,-115.260498,117,10.13,84.96
124.07,4,9.6,9.93,105.19,118.26,35.7870216,-115.260498,117,11.81,85.11
124.47,4,9.83,9.84,103.5,116.77,35.7870063,-115.2604827,116,12.5,85.17
124.86,4,9.62,9.76,101.75,115.29,35.7869949,-115.2604675,116,14.25,85.35
125.26,4,10.07,10.23,100.06,113.79,35.7869873,-115.2604522,116,15.94,85.5
125.66,4,8.65,8.88,98.25,112.29,35.7869758,-115.2604141,116,17.75,85.68
126.07,4,9.18,9.38,96.5,110.8,35.7869682,-115.2603988,116,19.5,85.83
126.46,4,9.57,9.74,94.94,109.3,35.7869606,-115.2603836,116,21.06,85.98
126.86,4,10.2,10.52,93.12,107.78,35.7869529,-115.2603759,116,22.87,86.13
127.26,4,9.67,9.76,91.5,106.22,35.7869453,-115.2603302,116,24.5,86.28
127.66,4,10.48,10.64,89.87,104.65,35.7869377,-115.2603149,116,26.12,86.46
128.06,4,8.71,8.92,88.75,103.07,35.7869338,-115.2603073,116,27.25,86.55
128.46,4,9.45,9.72,88.44,101.47,35.78693,-115.2602615,118,29.56,86.76
128.85,4,9.49,9.89,88.44,99.85,35.78693,-115.2602462,118,29.56,86.79
129.29,4,9.73,10.04,88.44,98.23,35.78693,-115.2602233,119,30.56,86.88
129.69,4,10.13,10.45,88.56,96.6,35.78693,-115.2601776,120,31.44,86.97
130.05,4,8.75,9.13,89.62,94.97,35.7869262,-115.2601699,120,30.37,86.88
130.45,4,8.7,9.17,92.12,93.33,35.7869262,-115.2601394,121,28.87,86.73
130.85,4,8.9,9.09,95.62,91.7,35.7869262,-115.2601242,122,26.37,86.52
131.24,4,10.11,10.18,100,90.09,35.7869262,-115.2601013,122,22,86.13
131.64,4,9.2,10.07,103.75,88.47,35.7869262,-115.260086,123,19.25,85.89
132.04,4,9.16,9.35,107.56,86.88,35.7869262,-115.2600479,125,17.44,85.74
132.44,4,9.55,9.74,111.06,85.3,35.7869224,-115.2600326,125,13.94,85.41
132.83,4,9.2,9.36,114.81,83.72,35.7869224,-115.2599868,126,11.19,85.17
133.24,4,10.01,10.33,118.44,82.14,35.7869186,-115.2599792,127,8.56,84.93
133.64,4,9.9,10.46,121.87,80.53,35.7869148,-115.2599334,129,7.13,84.81
134.04,4,9.69,10.2,125.12,78.89,35.786911,-115.2599182,129,3.88,84.51
134.43,4,9.86,10.02,128.19,77.22,35.7869071,-115.2598953,130,1.81,84.33
134.83,4,8.99,9.28,131,75.54,35.7869033,-115.25988,130,-1,84.09
135.23,4,8.77,9.2,133.25,73.83,35.7868881,-115.2598648,130,-3.25,83.88
135.63,4,9.24,9.36,134.94,72.11,35.7868804,-115.2598419,131,-3.94,83.82
136.03,4,8.85,9.36,136.25,70.38,35.7868728,-115.2598114,132,-4.25,83.79
136.43,4,8.94,9.09,136.38,68.62,35.7868652,-115.2597961,132,-4.38,83.79
136.82,4,9.5,9.88,136.5,66.84,35.7868537,-115.2597885,133,-3.5,83.85
137.22,4,10.02,10.15,136.94,65.05,35.7868423,-115.2597732,132,-4.94,83.73
137.62,4,9.82,10.28,137,63.25,35.786827,-115.2597427,133,-4,83.82
138.02,4,9.4,9.76,136.81,61.47,35.7868156,-115.2597274,133,-3.81,83.82
138.42,4,9.73,9.79,136.88,59.68,35.7868041,-115.2597198,133,-3.88,83.82
138.82,4,9.77,10.24,137.44,57.91,35.7867889,-115.2597045,132,-5.44,83.67
139.22,4,9.59,9.76,137.56,56.16,35.7867698,-115.259674,133,-4.56,83.76
139.61,4,9.38,9.61,137.38,54.41,35.7867584,-115.2596588,132,-5.38,83.67
140.01,4,9.87,9.96,135.94,52.67,35.7867431,-115.2596588,130,-5.94,83.64
140.41,4,10.03,10.32,133.88,50.96,35.7867279,-115.2596511,129,-4.88,83.73
140.81,4,8.41,8.58,130.88,49.28,35.7867088,-115.2596359,127,-3.88,83.82
141.21,4,9.92,10.42,124.69,47.65,35.7866935,-115.2596206,126,1.31,84.27
141.61,4,9.55,9.96,117.12,46.05,35.7866783,-115.2596054,124,6.88,84.78
142.01,4,9.52,9.9,109.69,44.49,35.786663,-115.2595901,122,12.31,85.26
142.41,4,10.51,10.76,102.31,42.97,35.7866477,-115.2595672,122,19.69,85.95
142.8,4,9.84,10.24,95.25,41.47,35.7866325,-115.259552,121,25.75,86.49
143.2,4,9.78,10.38,88.19,40,35.786621,-115.2595367,119,30.81,86.97
143.6,4,10.86,11.08,81.44,38.55,35.7866058,-115.2595367,114,32.56,87.12
144,4,9.52,10.03,75.12,37.1,35.7865982,-115.2595138,114,38.88,87.69
144.4,4,11.28,11.41,69.19,35.67,35.7865829,-115.2594985,108,38.81,87.69
144.8,4,9.21,9.39,63.5,34.21,35.7865791,-115.259468,109,45.5,88.32
145.2,4,9.91,10.2,62.19,32.7,35.7865753,-115.2594451,116,53.81,89.07
145.6,4,10.16,10.36,62.38,31.18,35.7865753,-115.2594146,132,69.62,90.48
146,4,8.8,9.01,62.63,29.61,35.7865753,-115.2593994,153,90.37,92.37
146.39,4,9.43,9.79,63.25,28,35.7865753,-115.2593765,207,143.75,97.23
146.79,4,9.36,9.6,64.31,26.35,35.7865753,-115.2593612,228,163.69,99.06
147.19,4,9.57,9.86,66.62,24.65,35.7865791,-115.2593231,247,-179.63,75
147.59,4,9.5,10.03,73.75,22.94,35.7865829,-115.2593078,247,173.25,99.99
147.99,4,10.04,10.29,81,21.26,35.7865867,-115.2592926,249,168,99.48
148.39,4,10.39,10.72,88.44,19.59,35.7865867,-115.2592697,253,164.56,99.21
148.79,4,11.57,12.09,96.44,17.97,35.7865982,-115.2592544,248,151.56,98.07
149.18,4,14.76,15.28,110.31,16.45,35.7865982,-115.2592391,249,138.69,96.93
149.58,4,13.51,14.38,130,14.93,35.786602,-115.2592086,252,122,95.46
149.98,4,8.79,9.26,153.19,13.46,35.7866134,-115.259201,251,97.81,93.3
150.38,4,5.82,6.46,178.19,12.04,35.7866172,-115.2591857,251,72.81,91.08
150.78,4,5.02,5.56,202.31,10.72,35.7866172,-115.259201,249,46.69,88.77
151.18,4,8.55,8.59,226.94,9.5,35.7866172,-115.259201,249,22.06,86.55
151.57,4,13.57,14.02,241.38,8.34,35.7866172,-115.259201,249,7.63,85.26
151.97,4,8.48,8.6,241.63,7.25,35.7866172,-115.259201,249,7.38,85.26
152.37,4,8.96,9.07,240.94,6.22,35.786621,-115.259201,246,5.06,85.05
152.77,4,10.04,10.67,241.63,5.27,35.7866249,-115.259201,246,4.38,84.99
153.17,4,8.02,8.28,241.69,4.37,35.7866249,-115.259201,246,4.31,84.96
153.57,4,11.73,11.89,241.31,3.61,35.7866249,-115.259201,246,4.69,85.02
153.97,4,11.4,11.45,238.94,2.95,35.7866249,-115.259201,246,7.06,85.23
154.37,4,8.4,8.63,237.5,2.37,35.7866249,-115.2592086,245,7.5,85.26
154.76,4,9.3,9.65,234,1.84,35.7866249,-115.2592086,245,11,85.59
155.16,4,9.65,9.77,234.19,1.37,35.7866287,-115.2592086,243,8.81,85.38
155.56,4,9.37,9.42,233.56,0.96,35.7866287,-115.2592086,243,9.44,85.44
155.96,4,9.23,9.29,230.63,0.6,35.7866325,-115.2592086,241,10.38,85.53
156.36,4,9.74,10.14,224.63,0.29,35.7866325,-115.2592086,241,16.37,86.07
156.76,4,8.48,9.03,169.25,0.03,35.7866325,-115.2592086,241,71.75,91.05
157.16,4,10.61,11.19,103.44,-0.2,35.7866325,-115.2592086,241,137.56,97.02
157.56,4,9.11,10.04,50.25,-0.35,35.7866325,-115.2592086,241,-169.25,75
157.96,4,10.12,10.43,18,-0.47,35.7866325,-115.2592086,241,-137,75
158.36,4,9.55,9.7,17.25,-0.57,35.7866363,-115.2592086,240,-137.25,75
158.75,4,9.49,9.63,16.81,-0.64,35.7866363,-115.2592086,240,-136.81,75
159.15,4,9.52,9.65,16.12,-0.68,35.7866325,-115.2592086,241,-135.13,75
